Name, Message
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"ben",""
"",""
"zzzzzzzzzzzzzzzzzzzz",""
"zzzzzzzzzz",""
"zzzzzzzzzzz",""
"zzzzzzzzzzzz",""
"zzzzzzzzzzzzzzz",""
"",""
"",""
"kevin","hello"
"Michelle","I love u"
"hi",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"d","d"
"lol","hi"
"lol","l"
"ben","hello kevin,

happy birthday! :D"
"bob","hi"
"0","0"
"Kevin Cen","sup"
"hi","l"
"dcdcdcdc","c"
"jason","big!! congrats on the ep and have a great bday"
"blop taing","happy birthday I love you"
"Bridget","Happy birthday Klovyn!!!! "
"Nolan","“Live laugh love”
Shit changed my life.

Happy birthday, im excited to listen to your new album today, keep killin it"
"NiSwole Cadieu","Happy bday bruh🥳 I ran 20 stop signs to celebrate the big day today"
"froaks","happy birthday!! i love ur music sm and hope you have a great day
ps. hazel is fire, daybreak is my fav"
"mnkwa","thanks for being my best friend

here's to many more memories"
"Anon","Happy Birthday"
